"","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","P_TYPE","S_RADIUS_EST","S_TYPE_TEMP","P_HABITABLE"
"11 Com b",1.43875937754207,1.53675775462196,0.263783777676541,"Jovian",5.48505648735606,"K","non-habitable"
"11 UMi b",1.68372982653553,1.79000575859628,0.300822936050009,"Jovian",8.8674292635035,"K","non-habitable"
"14 And b",0.887615171043372,1.22750166155571,0.211034987115291,"Jovian",2.97727315008271,"G","non-habitable"
"14 Her b",2.76622844806902,2.47102709603914,-2.48775718930379,"Jovian",-0.179399125710124,"K","non-habitable"
"16 Cyg B b",1.80688624193987,2.03060392690945,-1.83236077698571,"Jovian",-0.116704542278291,"G","non-habitable"
"18 Del b",2.55065889319216,2.15106504342009,-0.805966817999121,"Jovian",2.19359085718479,"G","non-habitable"
"24 Boo b",-0.170163439511086,0.241383782202474,1.33684707564041,"Jovian",2.86442289990541,"G","non-habitable"
"24 Sex b",1.48448370017786,1.71774001501521,-0.680675565371608,"Jovian",1.06508835541178,"K","non-habitable"
"24 Sex c",2.16721959272469,2.08610797116598,-1.02739279410002,"Jovian",1.06508835541178,"K","non-habitable"
"2MASS J02192210-3925225 b",11.8299124461015,3.87383904298206,-7.04501000548456,"Jovian",-0.383156521863584,"M","non-habitable"
"2MASS J21402931+1625183 A b",2.91969811650638,3.25523695559135,-5.33257432716739,"Jovian",-0.433312188609051,"M","non-habitable"
"30 Ari B b",1.09363118167646,1.55187080386282,-1.08075827963863,"Jovian",-0.0289321254737232,"F","non-habitable"
"4 UMa b",0.940760534432857,1.43150698796954,0.405210050276784,"Jovian",5.2060655910844,"K","non-habitable"
"42 Dra b",1.32901448344549,1.74886335168399,0.243840794565411,"Jovian",6.43487942634834,"K","non-habitable"
"47 UMa b",2.18312823917846,2.19622764714247,-1.85879736243647,"Jovian",-0.0853572505623736,"G","non-habitable"
"47 UMa c",3.15313981762125,2.63602327943056,-2.26933487259085,"Jovian",-0.0853572505623736,"G","non-habitable"
"47 UMa d",5.62979655118696,3.6122649086269,-3.1574910533287,"Jovian",-0.0853572505623736,"G","non-habitable"
"51 Peg b",-0.471486943154557,-0.747856943182056,0.907479279444439,"Jovian",-0.0947614380771487,"G","non-habitable"
"55 Cnc b",-0.329668211248478,-0.142377876392967,-0.0425232909518,"Jovian",-0.176264396538533,"G","non-habitable"
"55 Cnc c",-0.0662760088084953,0.446153836191231,-0.606860203052392,"Jovian",-0.176264396538533,"G","non-habitable"
"55 Cnc d",4.00407489338075,3.02377508835909,-2.98466106744835,"Jovian",-0.176264396538533,"G","non-habitable"
"55 Cnc e",-0.560059688216515,-1.35701561867164,1.4926873449343,"Superterran",-0.176264396538533,"G","non-habitable"
"55 Cnc f",0.830547462941173,1.41638202454827,-1.51774837439952,"Neptunian",-0.176264396538533,"G","non-habitable"
"6 Lyn b",2.19104411493004,2.11727131981988,-1.0339357130891,"Jovian",1.15913023055953,"K","non-habitable"
"61 Vir b",-0.47732862400874,-0.749526571352626,0.714717205617317,"Superterran",-0.169994938195349,"G","non-habitable"
"61 Vir c",-0.114010113995086,0.362294650568262,-0.405192829647243,"Neptunian",-0.169994938195349,"G","non-habitable"
"61 Vir d",0.359220118320536,1.00106136726926,-1.0127787810825,"Neptunian",-0.169994938195349,"G","non-habitable"
"7 CMa b",2.0445047253852,2.02887376251457,-1.63734008382823,"Jovian",0.250058770797937,"K","non-habitable"
"70 Vir b",0.367532190146216,0.972154805581131,-0.530490825331869,"Jovian",0.121534874762678,"G","non-habitable"
"75 Cet b",2.18312823917846,1.95154914806205,-0.523875226362186,"Jovian",2.82053669150312,"G","non-habitable"
"8 UMi b",0.382423447858923,0.850343776140734,0.57369683101734,"Jovian",2.75784210807129,"K","non-habitable"
"81 Cet b",2.48141833427696,2.12803387845363,-0.643507690178133,"Jovian",2.97727315008271,"G","non-habitable"
"91 Aqr b",0.706499807379097,1.21421514629154,0.293340374979328,"Jovian",2.97727315008271,"K","non-habitable"
"BD+03 2562 b",1.44946909948177,1.75207589430137,0.441545546339969,"Jovian",9.66991993143097,"K","non-habitable"
"BD+14 4559 b",0.819525573187066,1.43077072703462,-1.6773414705639,"Jovian",-0.201342229911266,"K","non-habitable"
"BD+15 2375 b",0.520344458576772,1.12150342852952,0.279557782933312,"Jovian",2.33465366990641,"G","non-habitable"
"BD+15 2940 b",0.46195233195268,1.06203080629844,0.75019902850209,"Jovian",4.13712294357163,"K","non-habitable"
"BD+20 274 b",1.44946909948177,1.85253080519564,0.0363976277927245,"Jovian",4.95215252818547,"K","non-habitable"
"BD+20 594 b",0.0072771942518756,0.411881383386427,-0.452822506031452,"Neptunian",-0.132378188136249,"G","non-habitable"
"BD+48 738 b",1.10595139442164,1.63911582886337,-0.0672173331809179,"Jovian",2.97727315008271,"K","non-habitable"
"BD+48 740 b",1.84357165874096,1.98338264591409,-0.542208055742156,"Jovian",2.76724629558607,"K","non-habitable"
"BD+49 828 b",3.45448128157393,2.68017108885995,-1.27938193894487,"Jovian",1.91146523174153,"K","non-habitable"
"BD-06 1339 b",-0.494711153390048,-0.787020947969266,0.0778279365154042,"Superterran",-0.285896044730527,"K","non-habitable"
"BD-06 1339 c",0.289979559405329,1.01396215072576,-1.69967688112177,"Jovian",-0.285896044730527,"K","non-habitable"
"BD-08 2823 b",-0.45450149735579,-0.619409823577309,0.123315126216924,"Neptunian",-0.248363167485142,"K","non-habitable"
"BD-08 2823 c",0.677412162613705,1.3625933140566,-1.72917229558251,"Jovian",-0.248363167485142,"K","non-habitable"
"BD-10 3166 b",-0.501319623311043,-0.832493917560595,0.79746179239054,"Jovian",-0.185668584053308,"K","non-habitable"
"BD-11 4672 b",2.32185405582896,2.43686578086044,-2.99220089585699,"Jovian",-0.307923021745384,"K","non-habitable"
"BD-13 2130 b",1.80688624193987,1.96912579586928,0.0141616121902386,"Jovian",5.53834688327312,"G","non-habitable"
"BD-17 63 b",1.49184734406551,1.92182190125691,-2.28861214494734,"Jovian",-0.238958979970366,"K","non-habitable"
"CFBDSIR J145829+101343 b",2.55065889319216,3.42838828304857,-7.20084821220588,"Jovian",-0.438924153182139,"A","non-habitable"
"CoRoT-1 b",-0.536297294723395,-1.15373247565516,1.44929338201266,"Jovian",-0.122974000621474,"G","non-habitable"
"CoRoT-10 b",-0.351199831619404,-0.194567532168619,-0.172976825583546,"Jovian",-0.223285334112408,"K","non-habitable"
"CoRoT-11 b",-0.492826278070398,-0.896842285014338,1.31531845273879,"Jovian",-0.0414710421600899,"F","non-habitable"
"CoRoT-12 b",-0.500941517426694,-0.920333409516594,1.0304736141002,"Jovian",-0.119839271449882,"G","non-habitable"
"CoRoT-13 b",-0.475459365375746,-0.768910527062626,0.84043945610499,"Jovian",-0.154321292337391,"G","non-habitable"
"CoRoT-14 b",-0.532236726513237,-1.15303177670666,1.48733389590803,"Jovian",-0.091626708905557,"F","non-habitable"
"CoRoT-16 b",-0.450331283202915,-0.640544792290357,0.73052575737838,"Jovian",-0.0978961672487404,"G","non-habitable"
"CoRoT-17 b",-0.486945341885846,-0.799020419162098,1.21066608186541,"Jovian",0.0274929996149273,"G","non-habitable"
"CoRoT-18 b",-0.526260848791043,-1.07370143469952,1.11480291878026,"Jovian",-0.157456021508982,"G","non-habitable"
"CoRoT-19 b",-0.473589190435703,-0.784269460848756,1.24013143317952,"Jovian",0.0463013746444774,"F","non-habitable"
"CoRoT-2 b",-0.529892450721706,-1.10446399852259,1.13485737526465,"Jovian",-0.185668584053308,"G","non-habitable"
"CoRoT-21 b",-0.497305219378984,-0.935446204581464,1.56106558393507,"Jovian",0.140343249792228,"F","non-habitable"
"CoRoT-22 b",-0.38139938651295,-0.349601912269267,0.480192913035042,"Neptunian",-0.113569813106699,"G","non-habitable"
"CoRoT-23 b",-0.482485222364755,-0.815102141612097,1.22890837327988,"Jovian",0.0337624579581107,"G","non-habitable"
"CoRoT-24 b",-0.463794050187854,-0.661719385620814,0.366420642275653,"Neptunian",-0.201342229911266,"K","non-habitable"
"CoRoT-24 c",-0.367931532013853,-0.255258779366526,-0.0608537045261649,"Neptunian",-0.201342229911266,"K","non-habitable"
"CoRoT-25 b",-0.459608053212895,-0.685041092438106,0.894330067733646,"Jovian",-0.0978961672487404,"F","non-habitable"
"CoRoT-26 b",-0.471720437411738,-0.75061451537033,1.15994926843781,"Jovian",0.0901875830467611,"G","non-habitable"
"CoRoT-27 b",-0.483423522546552,-0.821820357533619,0.93232110637022,"Jovian",-0.132378188136249,"G","non-habitable"
"CoRoT-28 b",-0.453805970124898,-0.653190884631355,0.925823339873066,"Jovian",0.0870528538751694,"G","non-habitable"
"CoRoT-29 b",-0.50463053328434,-0.917091826935939,0.77748196177844,"Jovian",-0.188803313224899,"K","non-habitable"
"CoRoT-3 b",-0.461285281979469,-0.745116220103126,1.27831434695994,"Jovian",0.0180888121001522,"F","non-habitable"
"CoRoT-4 b",-0.385905120673695,-0.378811237016531,0.58061376807055,"Jovian",-0.104165625591924,"F","non-habitable"
"CoRoT-5 b",-0.479040042965554,-0.768613693312173,1.02754354089418,"Jovian",-0.0978961672487404,"F","non-habitable"
"CoRoT-6 b",-0.396073324404601,-0.39616290381049,0.489166706823055,"Jovian",-0.151186563165799,"F","non-habitable"
"CoRoT-7 b",-0.557544534130718,-1.32097926723143,1.37086026421125,"Superterran",-0.210746417426041,"G","non-habitable"
"CoRoT-7 c",-0.487180309363332,-0.807202632495168,0.586664451996977,"Superterran",-0.210746417426041,"G","non-habitable"
"CoRoT-8 b",-0.447555066082038,-0.570398985738798,0.231660538745435,"Jovian",-0.229554792455591,"K","non-habitable"
"CoRoT-9 b",0.232972201126053,0.861195518748865,-0.860688980514298,"Jovian",-0.169994938195349,"G","non-habitable"
"CoRoTID 223977153 b",-0.429126658880036,-0.532934264907351,0.406506120559916,"Jovian",-0.223285334112408,"G","non-habitable"
"DP Leo b",4.85413747699115,3.43834146224362,-5.26091110002103,"Jovian",-0.46779420949656,"B","non-habitable"
"EPIC 211822797 b",-0.295149228249256,0.0499631543079144,-0.86611101290043,"Superterran",-0.292249375887425,"M","non-habitable"
"EPIC 211945201 b",-0.255698173400984,0.00649215450727486,0.295504746161079,"Neptunian",-0.0352015838169066,"G","non-habitable"
"EPIC 220674823 b",-0.56500248446894,-1.412243713463,1.75188481617069,"Superterran",-0.163725479852166,"G","non-habitable"
"EPIC 220674823 c",-0.343208893246015,-0.190760347597261,0.149965192146057,"Neptunian",-0.163725479852166,"G","non-habitable"
"EPIC 246851721 b",-0.426167971912636,-0.572859780743034,0.985252562198869,"Jovian",0.0274929996149273,"F","non-habitable"
"EPIC 246865365 b",-0.488571469122919,-0.845130692385607,1.12521726685878,"Jovian",-0.0822225213907819,"F","non-habitable"
"GJ 1132 b",-0.560398582237449,-1.12792757411765,-0.357017854020398,"Terran",-0.405099626064726,"M","non-habitable"
"GJ 1132 c",-0.483423522546552,-0.393798361610069,-1.22498396776746,"Terran",-0.405099626064726,"M","non-habitable"
"GJ 1148 b",-0.220240770302031,0.40791334785536,-1.69561717510058,"Jovian",-0.345539771804484,"M","non-habitable"
"GJ 1148 c",0.995353390304139,1.80720918951831,-2.98612342212095,"Jovian",-0.345539771804484,"M","non-habitable"
"GJ 1214 b",-0.563281069578997,-1.1382201535882,-0.373407879360115,"Neptunian",-0.401964896893134,"M","non-habitable"
"GJ 1265 b",-0.534631151735596,-0.812745348287852,-0.849288230163615,"Superterran",-0.411369084407909,"M","non-habitable"
"GJ 143 b",-0.167067225837273,0.327098946153227,-0.842143824568774,"Neptunian",-0.254632625828325,"K","non-habitable"
"GJ 163 b",-0.452878906541491,-0.410585700921364,-0.844001855755468,"Neptunian",-0.351182284313349,"M","non-habitable"
"GJ 163 c",-0.307349317878468,0.151240195510678,-1.39743281385089,"Superterran",-0.351182284313349,"M","habitable"
"GJ 163 d",1.14303004013267,1.87656192768214,-3.00992567084244,"Neptunian",-0.351182284313349,"M","non-habitable"
"GJ 179 b",2.41738896623222,2.611707700252,-3.70243809777512,"Jovian",-0.351809230147667,"M","non-habitable"
"GJ 273 b",-0.383423692135399,-0.0166980241922673,-1.41618295617766,"Terran",-0.380021792691993,"M","habitable"
"GJ 273 c",-0.509683530724562,-0.698136325935144,-0.720123531287656,"Terran",-0.380021792691993,"M","non-habitable"
"GJ 3021 b",0.382423447858923,1.04678255458114,-1.10898765496362,"Jovian",-0.188803313224899,"G","non-habitable"
"GJ 3138 b",-0.549769907095717,-1.2213213726786,0.309080018718297,"Terran",-0.314192480088567,"M","non-habitable"
"GJ 3138 c",-0.461467616226785,-0.588959660606308,-0.499578430869678,"Terran",-0.314192480088567,"M","non-habitable"
"GJ 3138 d",0.703606484742023,1.40748856929141,-2.41588547031802,"Neptunian",-0.314192480088567,"M","non-habitable"
"GJ 3293 b",-0.268369827219058,0.245738440050778,-1.47874618230643,"Neptunian",-0.345539771804484,"M","non-habitable"
"GJ 3293 c",0.161201015441665,0.999319465973156,-2.18354587485507,"Neptunian",-0.345539771804484,"M","non-habitable"
"GJ 3293 d",-0.162039035906104,0.489611026312528,-1.70968320842399,"Superterran",-0.345539771804484,"M","habitable"
"GJ 3293 e",-0.403829390920212,-0.194036318314386,-1.05758996230841,"Terran",-0.345539771804484,"M","non-habitable"
"GJ 3323 b",-0.518347276044649,-0.639560328209401,-1.41872410419426,"Terran",-0.433312188609051,"M","habitable"
"GJ 3323 c",-0.30516628434268,0.396853624972579,-2.44180271902037,"Terran",-0.433312188609051,"M","non-habitable"
"GJ 3341 b",-0.388161088979268,-0.158294911882089,-1.02561945322983,"Superterran",-0.333000855118117,"M","non-habitable"
"GJ 3470 b",-0.511977744404753,-0.851417150467773,-0.113132611210963,"Neptunian",-0.298518834230609,"M","non-habitable"
"GJ 3779 b",-0.534631151735596,-0.892863742557977,-0.512896459562201,"Superterran",-0.383156521863584,"M","non-habitable"
"GJ 3942 b",-0.452647195271335,-0.519735195082024,-0.336959512170671,"Superterran",-0.279710459201058,"M","non-habitable"
"GJ 3998 b",-0.527454862560635,-0.946678932350465,0.00395165063005948,"Terran",-0.317327209260159,"M","non-habitable"
"GJ 3998 c",-0.388161088979268,-0.175526079026566,-0.851890438232711,"Superterran",-0.317327209260159,"M","non-habitable"
"GJ 411 b",-0.411974619306864,-0.205830792501935,-1.00123144403051,"Terran",-0.348674500976076,"M","non-habitable"
